id;name;image;image_path;parent_int;sort_order;meta_tag_title;meta_tag_description;meta_tag_keyword;is_active;created_by;modified_by;created_date;modified_date
1;parse infrastructures Mobility;Implementation Shirt Unbranded Soft Fish;Refined Soft Keyboard synthesizing;75050;20162;Bacon Mouse open-source;payment National;HDD;39244;68298;81659;models e-enable;Money Market Account Saint Helena
2;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;62770;73054;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;77857;74394;14312;salmon;connect USB scalable
3;Bosnia and Herzegovina generate Creek;syndicate haptic;Bedfordshire;40895;72225;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);port Money Market Account;Chips National Idaho;40085;42359;46200;Communications;Customer
4;Avon;Advanced bus;Security Virginia;69665;79008;Clothing deposit quantify;Checking Account markets;Unbranded programming District;12281;11323;23590;Pizza yellow programming;FTP
5;Persistent Investment Account;Handmade Plastic Mouse neural;Money Market Account;11426;39816;Switzerland Chief;Inlet Rue;Path Assimilated Unions;14085;24822;17638;Avon web-readiness;frame multi-byte modular
6;Electronics;Bedfordshire Strategist;Towels applications;8534;53506;Hat matrices application;index indigo;sticky Expressway Checking Account;37772;47206;83656;Arkansas reciprocal;Mountain Malaysia supply-chains
7;Borders hack;Pants;Tasty navigate didactic;89743;64399;schemas Industrial;calculating;withdrawal Toys white;23107;19611;67189;Kids Incredible;Florida THX Idaho
8;Licensed Visionary pixel;neural Markets Branding;maroon;29314;32399;Small deposit microchip;Music Salad North Carolina;circuit Forward;62476;34181;33586;navigating;Alaska solution-oriented
9;best-of-breed generate;applications context-sensitive;Consultant back-end Fresh;56577;48743;Central digital supply-chains;Bedfordshire;Peru withdrawal Down-sized;13935;64505;83493;Liaison Tonga;Lari
10;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;1099;14001;tertiary;USB;Phased payment;49427;17537;57329;navigating seize generate;Fantastic Wooden Chips microchip
