id;level;is_active;created_by;modified_by;created_date;modified_date
1;22018;10946;68325;89447;Facilitator;Cambridgeshire
2;48058;51607;59240;90651;Louisiana payment Mayotte;optimal EXE optical
3;65845;24528;85058;15734;Fish next-generation Quality-focused;Brunei Dollar Credit Card Account override
4;15860;88163;88087;96131;Burg SAS Music;one-to-one reboot Chair
5;81796;55618;83213;75663;Adaptive black;Money Market Account
6;98118;55984;63181;11584;expedite;Solomon Islands
7;77984;12844;10698;28334;Beauty web services copying;deposit Mobility
8;10250;78880;93722;17375;bypass Paradigm Chicken;Handmade Rubber Shoes proactive Checking Account
9;4574;85241;87153;99014;Yemeni Rial Shoals deposit;navigate Movies
10;2212;82151;32361;37183;synthesizing Public-key;Dam
