id;description;amount;is_active;created_by;modified_by;created_date;modified_date
1;Generic Fresh Chicken;25669;11448;66529;38383;Prairie revolutionary Rubber;Saint Kitts and Nevis Senior
2;Incredible out-of-the-box;94172;41267;66857;64609;withdrawal HDD Checking Account;deposit Direct
3;Pizza Fish;63787;12055;74098;90245;Refined Granite Chips Fresh;Comoro Franc
4;heuristic Avon;57719;39936;4373;91013;multi-byte;web-enabled
5;quantifying Refined Cotton Chicken navigating;40389;67296;7761;27538;standardization multi-byte;Secured revolutionize
6;COM Legacy;43098;9887;31886;88965;Tools seamless;interface
7;Haiti Bedfordshire Table;64574;14259;4477;89009;collaborative Pants Beauty;expedite Garden
8;Licensed Cotton Soap artificial intelligence;67712;84713;60577;53108;overriding Wyoming;Course Yuan Renminbi
9;Analyst;22848;2753;97745;50545;Liaison evolve;red
10;synergize Shirt Home;75621;14706;45852;48785;Fresh;Cotton Identity info-mediaries
