id;is_active;created_by;modified_by;created_date;modified_date
1;88840;44412;60294;connecting Executive mission-critical;Shirt Tools Director
2;77353;54140;98010;Oval;Chad compress
3;83364;83854;44044;secured line next generation;Car
4;50744;34244;67738;Versatile;Nevada strategic New Jersey
5;13919;99971;44404;Auto Loan Account;maroon mobile
6;73457;88031;30048;local area network bluetooth;lime enable
7;3945;85255;47554;Tunisia Customer-focused Planner;Credit Card Account back-end Track
8;3798;13065;74586;British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball Trail;Usability
9;14879;94911;46267;Executive Buckinghamshire;Borders function Bedfordshire
10;52244;20322;56271;niches Home Loan Account Central;Oregon SCSI
