id;name;description;is_active;created_by;modified_by;created_date;modified_date
1;syndicate ADP Locks;orchid;36870;77078;36981;Refined Soft Mouse;Somalia applications
2;grey invoice Row;deposit wireless quantify;3593;29530;39473;Branding;monitor
3;Technician;whiteboard;71320;46815;19921;Senior 5th generation;Azerbaijanian Manat bypassing
4;Borders attitude-oriented calculating;Implemented;91106;33734;83826;bandwidth;web-readiness Buckinghamshire monetize
5;Investor 24/7;Trail Associate Iceland;67754;76230;31186;compress override;Frozen RAM
6;Movies navigate;leading-edge Ball synergies;33209;29330;34180;firewall Future-proofed withdrawal;Toys monitoring
7;Virgin Islands, British IB;Toys Internal multi-byte;78037;29114;45799;orchestrate;Senior
8;Upgradable Phased Berkshire;Sleek Metal Car West Virginia Representative;23915;78518;53073;payment invoice Arkansas;sticky Re-contextualized orchid
9;Investor;virtual Indiana Frozen;81112;52726;63595;orchestrate Pakistan Rupee scalable;Interactions B2B
10;Mountains Senior feed;Canadian Dollar;93060;784;49731;Monitored Rustic Cotton Sausages;Saint Martin
