id;first_name;ip_address;created_by;modified_by;created_date;modified_date
1;Mckayla;Facilitator partnerships;23497;55898;Buckinghamshire hard drive Venezuela;Practical Granite Gloves sensor
2;Saige;Chips;80000;71441;Markets Customer-focused;SAS Chicken migration
3;Efrain;SAS;67270;50151;Gorgeous Plastic Soap Intranet transmitting;Investor Computers Chilean Peso Unidades de fomento
4;Amely;Andorra;28763;39068;pink;Personal Loan Account killer
5;Mossie;maximize Gorgeous Soft Pants asymmetric;43276;33346;Gourde US Dollar Small Concrete Pants matrix;invoice Leone deposit
6;Clyde;users quantify Tasty;27785;32525;Group;Supervisor Practical Granite Chips Computer
7;Walker;Frozen mesh;73788;18981;Michigan pink Iceland;mission-critical
8;Constance;Buckinghamshire modular;28746;54960;Yemeni Rial Rubber;Rustic Unbranded
9;Vallie;hardware;9206;69579;Plaza Handcrafted;motivating Clothing
10;Violette;Organic Tenge;70662;67205;Kansas Ethiopia;Checking Account
