id;name;image;image_path;sort_order;is_active;created_by;modified_by;created_date;modified_date
1;Sausages Wooden Dale;Implementation capacitor;Electronics quantify Credit Card Account;37355;68011;5048;40815;Tools Washington;Jordan
2;Integration innovate generating;feed;Technician;10189;49804;831;74282;archive Legacy;Forward
3;AGP navigating;system Industrial;Polarised New Zealand;67067;24202;70086;71405;Handcrafted;programming
4;circuit;Computers;red analyzing;24755;91116;6252;35486;mindshare plum;Norwegian Krone Fantastic
5;software SAS revolutionize;Response Saudi Arabia;benchmark;51361;74288;25335;73791;France Licensed Cotton Table Dynamic;haptic global
6;ubiquitous Internal deposit;online e-commerce AGP;bus supply-chains;44254;53502;64932;14438;primary networks Bedfordshire;e-markets Electronics matrices
7;paradigms Meadows;Implementation;real-time;71296;40967;1149;65517;upward-trending Computer;Avon
8;lavender payment SMS;quantifying Court virtual;system engine;24995;44330;51500;55338;Grass-roots navigate;transmitting
9;compressing azure mobile;migration dynamic Bedfordshire;Synergized artificial intelligence Regional;7764;55337;82887;50313;sky blue SAS;IB cutting-edge Shoals
10;synergies Money Market Account;Ramp;Fish Jamaican Dollar;22959;48937;11755;42960;driver;firewall application Bedfordshire
