id;notify;comment;date_added;is_active;created_by;modified_by;created_date;modified_date
1;Liberia;Yen;Money Market Account;65294;61363;15391;Assistant Monaco Soft;robust invoice Wells
2;Seychelles Rupee;Kentucky collaborative Global;card;92410;5688;97517;calculating flexibility Technician;cultivate synthesize
3;groupware plug-and-play;Secured Plastic;Wisconsin dynamic;81576;6203;46672;Sleek Keyboard;withdrawal
4;Practical Plastic Markets;Cotton JBOD synergies;Credit Card Account Investment Account;45744;64823;39694;Stravenue;Mobility deposit
5;purple Shoes methodical;Colorado transition;benchmark Shirt;67562;16266;3808;Savings Account Azerbaijanian Manat salmon;Money Market Account
6;Awesome Plastic Self-enabling;Malawi;Mexican Peso Mexican Unidad de Inversion (UDI);59277;90801;14836;Gloves GB;Pizza portals
7;Checking Account United Kingdom;connect;Buckinghamshire blue;31501;47683;79140;Internal integrated;coherent
8;Pula structure Strategist;Shirt;Checking Account redundant Motorway;42265;58064;99563;Baby Central Bacon;Communications Garden Facilitator
9;Jewelery;local;magnetic;61037;64395;2411;Steel Rubber;Central
10;override District;Intelligent Fresh Table overriding Indiana;Buckinghamshire Awesome Concrete Bacon;93537;63145;46611;Pine Grocery User-friendly;Central African Republic Investment Account red
