id;name;value;type;is_active;created_by;modified_by;created_date;modified_date
1;Developer Markets;Organized ubiquitous;Kids solid state Quality;9132;57018;16144;Factors Senegal;Computers
2;Rapids Dobra;silver SQL Operations;Thailand;40564;9697;16916;Liaison;Sleek Fresh Soap Intelligent Concrete Towels Handcrafted
3;Avon;Rial Omani Cotton synthesizing;Chair e-enable value-added;43180;23964;78177;Berkshire;Borders cross-platform wireless
4;Digitized Reverse-engineered Bedfordshire;Steel;deposit;51109;51286;44551;Associate Oklahoma THX;COM
5;RSS;International withdrawal;Rustic Fort;39447;58121;86706;Cross-platform Planner Infrastructure;Berkshire
6;Internal Director e-business;Hat;Pound Sterling;27347;11953;73647;Ergonomic Steel Bacon;Plastic copy
7;Cambridgeshire;microchip;process improvement;97490;51408;41111;Mount North Carolina Consultant;whiteboard
8;bus;evolve Buckinghamshire;Sleek Rubber Chips;73958;27826;21096;quantifying Jewelery;vortals conglomeration Research
9;Research Ergonomic Concrete Shoes one-to-one;Optimized RAM;non-volatile;23875;27114;21354;models driver tan;Cotton JBOD
10;Group redundant Front-line;card;didactic Berkshire;77772;9148;85832;backing up turn-key Costa Rican Colon;Business-focused
