id;name;model;quantity;trace;total;tax;is_active;created_by;modified_by;created_date;modified_date
1;Zambian Kwacha Jewelery;Function-based Chicken;86623;76624;44418;30409;13705;81162;86221;indexing;circuit Uzbekistan Sum Associate
2;Handcrafted;Home Loan Account Central;15636;39678;75179;43121;56826;56929;27466;Forks;Borders circuit
3;Nevada;firewall Cape;2708;23285;44926;49200;29644;31023;92964;Granite;analyzer Monitored
4;Bulgaria system engine;GB card;10621;62110;77587;30180;80795;89974;76776;Cotton deposit;Borders calculate high-level
5;Egypt Sports deposit;ADP;49918;29265;29653;54542;26511;13341;43201;Consultant mint green Ergonomic;Granite EXE
6;Lebanese Pound attitude-oriented;withdrawal RAM calculating;62605;64310;7527;31574;11239;62151;4930;Monitored;Future
7;disintermediate;generating Assistant Road;50699;11250;57217;73592;93234;27509;85820;Pants methodologies;regional methodical
8;deposit Developer Handmade;navigating;97443;34778;97560;2164;6527;9177;82183;invoice payment Granite;Visionary reboot
9;interfaces Intelligent Plastic Computer bypassing;Investment Account backing up ADP;46362;46902;78427;92855;94688;64108;27517;synthesize;Incredible Frozen Salad holistic Prairie
10;quantifying calculate;card 6th generation focus group;12525;66693;65550;10252;3979;1191;59768;SMS;Architect Architect Avon
