id;name;color_code;is_active;created_by;modified_by;created_date;modified_date
1;Somali Shilling connecting Organized;Fresh Accountability;35192;24317;44614;Cape Verde Escudo scalable;Investor
2;Shoes protocol Cambridgeshire;e-commerce back-end;54647;58253;9135;input Oregon fuchsia;mint green
3;Tasty Rubber Shirt bypassing;Aruba;10949;57277;20285;Director Guam methodical;well-modulated Grocery port
4;generating monitor;Gold magenta B2B;12611;69386;12985;Syrian Pound;Personal Loan Account Generic Bedfordshire
5;Incredible multi-byte;middleware transmit;7079;70327;66038;primary Dobra Cambridgeshire;disintermediate deposit hardware
6;Books Intranet mint green;application Bike Pre-emptive;49437;4807;91483;red Frozen;Analyst Universal purple
7;withdrawal Total Towels;distributed synthesizing Bedfordshire;91163;44797;92801;Chips Home;transitional proactive Tennessee
8;Unions;system-worthy;89581;19666;10347;deposit Investor Bike;Kazakhstan Palladium olive
9;implementation blue;bypassing;33568;14386;57458;Berkshire;primary Cotton
10;Port;fuchsia Awesome Computer;92373;23684;82147;innovative;back-end Progressive
