id;name;description;meta_description;meta_keyword;is_active;created_by;modified_by;created_date;modified_date
1;Granite Saint Helena;pixel;Berkshire Investment Account;Officer;11238;49133;26850;Berkshire navigating Fish;Checking Account
2;interface;maroon;infrastructures Regional web-readiness;sky blue;78047;96295;20117;Tasty Streets;Movies
3;virtual quantify;systematic cross-platform Senior;optical;Jewelery Sleek SSL;63055;84532;74723;silver Canada program;turquoise mobile
4;Barbados Dollar;Producer Shoes bypassing;next-generation COM;Direct;92619;32610;909;Unbranded;SMTP
5;HTTP Road;Savings Account Assistant;Director incremental;Executive Kwacha;67197;50278;24068;index;granular Latvia Iowa
6;Right-sized;port;Australia Shoes;Accountability;24015;59364;32352;Shirt North Dakota;grey
7;Brazilian Real North Carolina harness;quantify Albania;Rustic THX;Developer;82560;92003;6000;seize;Montana SMTP Interactions
8;SDD Buckinghamshire technologies;Roads Gorgeous Concrete Bike;bleeding-edge Gloves Iceland Krona;XML index;27231;90906;11750;Right-sized;Customer Mountains Montserrat
9;sticky haptic Kuwait;Cross-platform;Tonga Accounts complexity;Handmade Savings Account Small Metal Computer;53042;72849;66278;Maine;Bedfordshire card
10;Indonesia;Buckinghamshire Saint Vincent and the Grenadines;Officer scalable Handcrafted Plastic Towels;Kuwaiti Dinar schemas Rubber;66576;92979;52467;deposit bleeding-edge Investor;Cloned deploy
