id;quantity;priority;pirce;date_start;date_end;is_active;created_by;modified_by;created_date;modified_date
1;67768;75635;22673;Investment Account Bond Markets Units European Composite Unit (EURCO) Gorgeous;ROI International;89625;18955;68571;ADP Intelligent ADP;initiatives
2;42891;23936;58556;Egypt Gloves;Soft;29617;55971;57228;schemas 24/365;solid state pricing structure Incredible Frozen Fish
3;39455;15198;79269;encompassing;optical Automated;6325;83063;13170;HDD payment;COM
4;4343;52757;26102;SSL program;instruction set;69413;52957;1612;empower cross-platform;blue neural
5;80303;21778;41526;scalable leading edge Buckinghamshire;withdrawal seamless cross-platform;29470;30452;57121;back up;Front-line brand
6;85126;81796;79848;intermediate Programmable Triple-buffered;Sleek Mandatory;70890;21827;82374;TCP;Computer system
7;24363;23073;46860;Rhode Island;Unbranded calculating web-readiness;59606;57507;8965;value-added Awesome Configuration;Lodge Electronics Automotive
8;41663;34459;15500;payment;Directives Outdoors Monitored;93844;14284;17108;Soft New York IB;matrix SMTP
9;43388;7407;74759;Administrator port Rubber;matrices Rustic;142;96289;44958;hacking;Principal Glen
10;6318;28045;59818;Savings Account;zero administration;79284;54402;90575;Designer Polarised;empowering background Cambridgeshire
