id;is_active;created_by;modified_by;created_date;modified_date
1;16218;76396;48644;capacitor;orchid Technician panel
2;77425;94577;65620;Springs;5th generation Web
3;71995;62609;75381;tan markets Money Market Account;deposit Versatile tangible
4;82046;27034;58431;Borders implementation card;Oregon
5;72988;7010;41093;Investment Account Kuwaiti Dinar pixel;Auto Loan Account
6;13203;45825;75623;content-based;Buckinghamshire PCI engineer
7;74972;35639;9681;Vista;invoice Ferry syndicate
8;32470;23362;98144;Soft product;Multi-layered Central
9;59256;17578;37992;Bedfordshire;Customer Granite
10;75742;50493;75754;neural;Eritrea Concrete connect
