id;product_tagname;is_active;created_by;modified_by;created_date;modified_date
1;value-added array deposit;87498;51839;8273;Chief;Shoes
2;niches;76031;38316;42033;Division Corporate AGP;Cambridgeshire
3;bluetooth;10351;56574;10741;Unbranded Automotive United States of America;Mandatory Granite toolset
4;Virtual IB Bosnia and Herzegovina;56947;94742;34317;Alabama Practical Soft Car;Timor-Leste
5;web-enabled Rubber;69588;86880;16457;index Assistant;Lead Rubber Paraguay
6;backing up;5600;66854;48010;Cayman Islands Bacon solution;Internal upward-trending
7;Money Market Account mesh Balanced;98213;4388;98301;District open-source collaboration;Som Garden 1080p
8;Intelligent;4856;38623;44795;Inlet National;Liaison
9;Steel Grocery;7173;87500;65986;partnerships;parse Credit Card Account Arizona
10;Rustic;88100;62254;52749;connecting;Uganda value-added Infrastructure
