id;name;is_active;created_by;modified_by;created_date;modified_date
1;Health;87019;71098;13865;Wooden Chicken;International invoice index
2;e-business Profit-focused;48064;32777;55182;deposit Mandatory Markets;Usability
3;Books;48112;23808;33336;Ferry Illinois infrastructures;monitor Handcrafted Plastic Bacon
4;Optional;60952;73041;58519;plug-and-play Cambridgeshire;intuitive
5;lime Unbranded Cayman Islands Dollar;66072;53047;95060;bus Intelligent Fresh Bike;deploy Persevering Wisconsin
6;Germany;90532;91344;8303;ivory partnerships;Sharable mobile
7;disintermediate Tasty Soft Salad Personal Loan Account;19854;42791;49482;calculate;Moroccan Dirham Plastic mobile
8;withdrawal;40823;33101;28046;card Stand-alone Soap;virtual Orchestrator
9;Frozen deposit encompassing;24;10785;12693;Configuration;Computers San Marino New Mexico
10;Architect extend;68146;13354;6353;maximize;Ouguiya empower RAM
