id;code;name;is_active;created_by;modified_by;created_date;modified_date
1;national;Tuna;34450;29396;6154;clear-thinking;success Intelligent Health
2;Crossing PNG transmit;Oman solution;14503;953;73680;Personal Loan Account payment;Uganda
3;Incredible Cotton Hat reintermediate;supply-chains;71415;75280;86123;Salad Meadow e-commerce;Gorgeous Borders Salad
4;e-services District;Colorado Future productize;98113;95832;75902;Avon;Computer Facilitator
5;Montana;quantifying Sports Auto Loan Account;27702;34546;86233;global;Ramp Enhanced Lead
6;methodologies scalable;South Dakota Division Borders;88710;60425;35814;strategize solutions Eritrea;Liberia Grove
7;Security Oklahoma;olive ivory;41275;96072;22777;Colorado deploy;Mountains Dynamic
8;Sausages XML;Administrator Books;89881;49797;93112;Infrastructure Clothing;Tuna
9;Jewelery;Integration;13593;51243;49764;green Rustic Plastic Shoes;Credit Card Account
10;Iceland;Lead;99889;80815;98721;HDD;cross-platform Massachusetts
